r_m,Phi,clock_dnu_over_nu,interferometer_phase_proxy,cavity_df_over_f,gravimeter_dg_proxy
1.27,7.416622582456992e-16,7.416622582456992e-16,-9.28784201639193e-16,3.708311291228496e-16,6.076833446128401e-15
1.28,6.826524089705778e-16,6.826524089705778e-16,-9.34512140705481e-16,3.413262044852889e-16,5.726503459109862e-15
1.29,6.271034769199404e-16,6.271034769199404e-16,-9.398984888909275e-16,3.135517384599702e-16,5.38478454306316e-15
1.3,5.749254452616453e-16,5.749254452616453e-16,-9.449526120509658e-16,2.8746272263082267e-16,5.0524448129593395e-15
1.31,5.260210137191746e-16,5.260210137191746e-16,-9.496845638495543e-16,2.630105068595873e-16,4.730172427011812e-15
1.32,4.802864092898724e-16,4.802864092898724e-16,-9.541050038371898e-16,2.401432046449362e-16,4.418573488806437e-15
1.33,4.376122139664669e-16,4.376122139664669e-16,-9.582251142260623e-16,2.1880610698323345e-16,4.118170744917708e-15
1.34,3.9788420151242385e-16,3.9788420151242385e-16,-9.620565161532814e-16,1.9894210075621193e-16,3.829403075183397e-15
1.35,3.6098417542208007e-16,3.6098417542208007e-16,-9.656111862099262e-16,1.8049208771104003e-16,3.5526257624164015e-15
1.36,3.26790800379531e-16,3.26790800379531e-16,-9.689013739904326e-16,1.633954001897655e-16,3.2881115182379745e-15
1.37,2.951804198119514e-16,2.951804198119514e-16,-9.719395213840177e-16,1.475902099059757e-16,3.0360522320988836e-15
1.3800000000000001,2.660278525078302e-16,2.660278525078302e-16,-9.747381842880543e-16,1.330139262539151e-16,2.796561401583834e-15
1.3900000000000001,2.392071617312196e-16,2.392071617312196e-16,-9.773099573734057e-16,1.196035808656098e-16,2.569677193925746e-15
1.4000000000000001,2.1459239080080368e-16,2.1459239080080368e-16,-9.79667402474599e-16,1.0729619540040184e-16,2.3553660814296216e-15
1.41,1.9205825970735112e-16,1.9205825970735112e-16,-9.81822981114449e-16,9.602912985367556e-17,2.153526987340402e-15
1.42,1.714808180038049e-16,1.714808180038049e-16,-9.837889916044697e-16,8.574040900190246e-17,1.963995873681914e-15
1.43,1.5273804990693445e-16,1.5273804990693445e-16,-9.855775110903827e-16,7.636902495346723e-17,1.7865506988168282e-15
1.44,1.3571042828554472e-16,1.3571042828554472e-16,-9.87200342837484e-16,6.785521414277236e-17,1.6209166699751356e-15
1.45,1.2028141496490488e-16,1.2028141496490488e-16,-9.886689689748937e-16,6.014070748245244e-17,1.4667717147895326e-15
1.46,1.0633790553735147e-16,1.0633790553735147e-16,-9.899945088420227e-16,5.316895276867573e-17,1.3237520959495632e-15
1.47,9.377061762232574e-17,9.377061762232574e-17,-9.911876830062289e-16,4.688530881116287e-17,1.1914580944060922e-15
1.48,8.247442225322894e-17,8.247442225322894e-17,-9.922587829487452e-16,4.123721112661447e-17,1.0694596890605583e-15
1.49,7.234861877200485e-17,7.234861877200485e-17,-9.932176463476636e-16,3.6174309386002426e-17,9.573021644729388e-16
1.5,6.329715427485747e-17,6.329715427485747e-17,-9.940736378230292e-16,3.1648577137428734e-17,8.545115827105758e-16
1.51,5.5228789264695147e-17,5.5228789264695147e-17,-9.948356349507798e-16,2.7614394632347573e-17,7.606000609106856e-16
1.52,4.8057211719843825e-17,4.8057211719843825e-17,-9.955120193001237e-16,2.4028605859921912e-17,6.750708023017653e-16
1.53,4.1701102277816775e-17,4.1701102277816775e-17,-9.961106722034879e-16,2.0850551138908387e-17,5.974228351715047e-16
1.54,3.6084153652558856e-17,3.6084153652558856e-17,-9.966389749298645e-16,1.8042076826279428e-17,5.271554214228369e-16
1.55,3.113504775028438e-17,3.113504775028438e-17,-9.971038129014376e-16,1.556752387514219e-17,4.637721037643611e-16
1.56,2.6787394221098973e-17,2.6787394221098973e-17,-9.97511583569907e-16,1.3393697110549486e-17,4.0678436807715073e-16
1.57,2.297963438089563e-17,2.297963438089563e-17,-9.978682075528664e-16,1.1489817190447815e-17,3.5571490493274933e-16
1.58,1.965491456191254e-17,1.965491456191254e-17,-9.981791426217318e-16,9.82745728095627e-18,3.1010046146210553e-16
1.59,1.6760933003585298e-17,1.6760933003585298e-17,-9.984494001307314e-16,8.380466501792649e-18,2.6949428165967503e-16
1.6,1.4249764381924636e-17,1.4249764381924636e-17,-9.986835634808756e-16,7.124882190962318e-18,2.334681396334533e-16
1.61,1.2077666000698932e-17,1.2077666000698932e-17,-9.988858082231118e-16,6.038833000349466e-18,2.0161397618025142e-16
1.62,1.0204869537199116e-17,1.0204869537199116e-17,-9.990599234203456e-16,5.102434768599558e-18,1.7354515429499635e-16
1.6300000000000001,8.595362056025473e-18,8.595362056025473e-18,-9.992093339080363e-16,4.2976810280127364e-18,1.4889735375218462e-16
1.6400000000000001,7.21665978338291e-18,7.21665978338291e-18,-9.993371231168712e-16,3.608329891691455e-18,1.273291286862166e-16
1.6500000000000001,6.0395778793290896e-18,6.0395778793290896e-18,-9.994460561478443e-16,3.0197889396645448e-18,1.0852215512472478e-16
1.6600000000000001,5.0379991639226185e-18,5.0379991639226185e-18,-9.995386028191697e-16,2.5189995819613092e-18,9.218119769413834e-17
1.67,4.1886444528169135e-18,4.1886444528169135e-18,-9.99616960435074e-16,2.0943222264084568e-18,7.803382623660006e-17
1.68,3.4708468458390526e-18,3.4708468458390526e-18,-9.99683076057946e-16,1.7354234229195263e-18,6.582991388531806e-17
1.69,2.8663319953737708e-18,2.8663319953737708e-18,-9.997386680969232e-16,1.4331659976868854e-18,5.5340948289032296e-17
1.7,2.3590060662957746e-18,2.3590060662957746e-18,-9.997852470571182e-16,1.1795030331478873e-18,4.635918721484456e-17
1.71,1.9347527914743123e-18,1.9347527914743123e-18,-9.99824135323858e-16,9.673763957371561e-19,3.8696688760842243e-17
1.72,1.581240731502601e-18,1.581240731502601e-18,-9.998564858850066e-16,7.906203657513005e-19,3.2184244950931785e-17
1.73,1.2877415685007358e-18,1.2877415685007358e-18,-9.998832999213308e-16,6.438707842503679e-19,2.6670245643331694e-17
1.74,1.0449600050199604e-18,1.0449600050199604e-18,-9.999054432196133e-16,5.224800025099802e-19,2.2019497541941087e-17
1.75,8.448756028504652e-19,8.448756028504652e-19,-9.999236613856275e-16,4.224378014252326e-19,1.8112020736106846e-17
1.76,6.805966847316392e-19,6.805966847316392e-19,-9.999385938539867e-16,3.402983423658196e-19,1.4841842685998067e-17
1.77,5.462262356640711e-19,5.462262356640711e-19,-9.999507867092175e-16,2.7311311783203557e-19,1.2115806989880738e-17
