t_s,modulation_m_t,Phi,clock_dnu_over_nu,cavity_df_over_f,gravimeter_dg_proxy
69.0,-0.5877852522924716,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
69.5,-0.3090169943749507,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
70.0,-1.7145055188062944e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
70.5,0.30901699437494745,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
71.0,0.5877852522924688,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
71.5,0.8090169943749453,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
72.0,0.951056516295153,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
72.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
73.0,0.951056516295153,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
73.5,0.8090169943749496,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
74.0,0.5877852522924746,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
74.5,0.30901699437494745,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
75.0,5.3896838775215305e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
75.5,-0.30901699437494395,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
76.0,-0.5877852522924716,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
76.5,-0.8090169943749473,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
77.0,-0.9510565162951541,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
77.5,-1.0,3.605218523480135e-15,3.605218523480135e-15,1.8026092617400675e-15,1.4715177646857694e-14
78.0,-0.9510565162951542,3.6088195837669996e-15,3.6088195837669996e-15,1.8044097918834998e-15,1.4715177646857694e-14
78.5,-0.8090169943749476,3.6192702677566524e-15,3.6192702677566524e-15,1.8096351338783262e-15,1.4715177646857694e-14
79.0,-0.5877852522924776,3.635547589685989e-15,3.635547589685989e-15,1.8177737948429947e-15,1.4715177646857694e-14
79.5,-0.30901699437495095,3.656058211873796e-15,3.656058211873796e-15,1.828029105936898e-15,1.4715177646857694e-14
80.0,-1.959434878635765e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
80.5,0.30901699437494723,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
81.0,0.5877852522924744,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
81.5,0.8090169943749452,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
82.0,0.951056516295153,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
82.5,1.0,3.752370299948712e-15,3.752370299948712e-15,1.876185149974356e-15,1.4715177646857694e-14
83.0,0.9510565162951553,3.748769239661847e-15,3.748769239661847e-15,1.8743846198309237e-15,1.4715177646857694e-14
83.5,0.8090169943749497,3.7383185556721945e-15,3.7383185556721945e-15,1.8691592778360973e-15,1.4715177646857694e-14
84.0,0.5877852522924748,3.722041233742858e-15,3.722041233742858e-15,1.861020616871429e-15,1.4715177646857694e-14
84.5,0.30901699437494773,3.70153061155505e-15,3.70153061155505e-15,1.850765305777525e-15,1.4715177646857694e-14
85.0,-1.4708141202500005e-15,3.6787944117144235e-15,3.6787944117144235e-15,1.8393972058572117e-15,1.4715177646857694e-14
85.5,-0.30901699437494373,3.656058211873797e-15,3.656058211873797e-15,1.8280291059368986e-15,1.4715177646857694e-14
